Facility,Full Lockdown,Partial Lockdown,Date,Time,Shift
big muddy river correctional center,0,0,2025-09-09,2025-09-09 00:28:48.047845-04:00,Shift 1
centralia correctional center,0,0,2025-09-09,2025-09-09 00:28:48.047845-04:00,Shift 1
danville correctional center,0,0,2025-09-09,2025-09-09 00:28:48.047845-04:00,Shift 1
decatur correctional center,0,0,2025-09-09,2025-09-09 00:28:48.047845-04:00,Shift 1
dixon correctional center,0,0,2025-09-09,2025-09-09 00:28:48.047845-04:00,Shift 1
east moline correctional center,0,0,2025-09-09,2025-09-09 00:28:48.047845-04:00,Shift 1
graham correctional center,0,0,2025-09-09,2025-09-09 00:28:48.047845-04:00,Shift 1
hill correctional center,1,0,2025-09-09,2025-09-09 00:28:48.047845-04:00,Shift 1
illinois river correctional center,0,0,2025-09-09,2025-09-09 00:28:48.047845-04:00,Shift 1
jacksonville correctional center,0,0,2025-09-09,2025-09-09 00:28:48.047845-04:00,Shift 1
lawrence correctional center,0,0,2025-09-09,2025-09-09 00:28:48.047845-04:00,Shift 1
lincoln correctional center,0,0,2025-09-09,2025-09-09 00:28:48.047845-04:00,Shift 1
logan correctional center,0,0,2025-09-09,2025-09-09 00:28:48.047845-04:00,Shift 1
menard correctional center,0,0,2025-09-09,2025-09-09 00:28:48.047845-04:00,Shift 1
pinckneyville correctional center,0,0,2025-09-09,2025-09-09 00:28:48.047845-04:00,Shift 1
joliet treatment center,0,0,2025-09-09,2025-09-09 00:28:48.047845-04:00,Shift 1
robinson correctional center,0,0,2025-09-09,2025-09-09 00:28:48.047845-04:00,Shift 1
shawnee correctional center,0,0,2025-09-09,2025-09-09 00:28:48.047845-04:00,Shift 1
sheridan correctional center,0,0,2025-09-09,2025-09-09 00:28:48.047845-04:00,Shift 1
southwestern illinois correctional center,0,0,2025-09-09,2025-09-09 00:28:48.047845-04:00,Shift 1
stateville correctional center,0,0,2025-09-09,2025-09-09 00:28:48.047845-04:00,Shift 1
taylorville correctional center,0,0,2025-09-09,2025-09-09 00:28:48.047845-04:00,Shift 1
vandalia correctional center,0,0,2025-09-09,2025-09-09 00:28:48.047845-04:00,Shift 1
vienna correctional center,0,0,2025-09-09,2025-09-09 00:28:48.047845-04:00,Shift 1
western illinois correctional center,0,0,2025-09-09,2025-09-09 00:28:48.047845-04:00,Shift 1
big muddy river correctional center,0,0,2025-09-09,2025-09-09 01:23:32.157456-04:00,Shift 1
centralia correctional center,0,0,2025-09-09,2025-09-09 01:23:32.157456-04:00,Shift 1
danville correctional center,0,0,2025-09-09,2025-09-09 01:23:32.157456-04:00,Shift 1
decatur correctional center,0,0,2025-09-09,2025-09-09 01:23:32.157456-04:00,Shift 1
dixon correctional center,0,0,2025-09-09,2025-09-09 01:23:32.157456-04:00,Shift 1
east moline correctional center,0,0,2025-09-09,2025-09-09 01:23:32.157456-04:00,Shift 1
graham correctional center,0,0,2025-09-09,2025-09-09 01:23:32.157456-04:00,Shift 1
hill correctional center,1,0,2025-09-09,2025-09-09 01:23:32.157456-04:00,Shift 1
illinois river correctional center,0,0,2025-09-09,2025-09-09 01:23:32.157456-04:00,Shift 1
jacksonville correctional center,0,0,2025-09-09,2025-09-09 01:23:32.157456-04:00,Shift 1
lawrence correctional center,0,0,2025-09-09,2025-09-09 01:23:32.157456-04:00,Shift 1
lincoln correctional center,0,0,2025-09-09,2025-09-09 01:23:32.157456-04:00,Shift 1
logan correctional center,0,0,2025-09-09,2025-09-09 01:23:32.157456-04:00,Shift 1
menard correctional center,0,0,2025-09-09,2025-09-09 01:23:32.157456-04:00,Shift 1
pinckneyville correctional center,0,1,2025-09-09,2025-09-09 01:23:32.157456-04:00,Shift 1
joliet treatment center,0,0,2025-09-09,2025-09-09 01:23:32.157456-04:00,Shift 1
robinson correctional center,0,0,2025-09-09,2025-09-09 01:23:32.157456-04:00,Shift 1
shawnee correctional center,0,0,2025-09-09,2025-09-09 01:23:32.157456-04:00,Shift 1
sheridan correctional center,0,0,2025-09-09,2025-09-09 01:23:32.157456-04:00,Shift 1
southwestern illinois correctional center,0,0,2025-09-09,2025-09-09 01:23:32.157456-04:00,Shift 1
stateville correctional center,0,0,2025-09-09,2025-09-09 01:23:32.157456-04:00,Shift 1
taylorville correctional center,0,0,2025-09-09,2025-09-09 01:23:32.157456-04:00,Shift 1
vandalia correctional center,0,0,2025-09-09,2025-09-09 01:23:32.157456-04:00,Shift 1
vienna correctional center,0,0,2025-09-09,2025-09-09 01:23:32.157456-04:00,Shift 1
western illinois correctional center,0,0,2025-09-09,2025-09-09 01:23:32.157456-04:00,Shift 1
big muddy river correctional center,0,0,2025-09-09,2025-09-09 02:36:09.339676-04:00,Shift 1
centralia correctional center,0,0,2025-09-09,2025-09-09 02:36:09.339676-04:00,Shift 1
danville correctional center,0,0,2025-09-09,2025-09-09 02:36:09.339676-04:00,Shift 1
decatur correctional center,0,0,2025-09-09,2025-09-09 02:36:09.339676-04:00,Shift 1
dixon correctional center,0,0,2025-09-09,2025-09-09 02:36:09.339676-04:00,Shift 1
east moline correctional center,0,0,2025-09-09,2025-09-09 02:36:09.339676-04:00,Shift 1
graham correctional center,0,0,2025-09-09,2025-09-09 02:36:09.339676-04:00,Shift 1
hill correctional center,1,0,2025-09-09,2025-09-09 02:36:09.339676-04:00,Shift 1
illinois river correctional center,0,0,2025-09-09,2025-09-09 02:36:09.339676-04:00,Shift 1
jacksonville correctional center,0,0,2025-09-09,2025-09-09 02:36:09.339676-04:00,Shift 1
lawrence correctional center,0,0,2025-09-09,2025-09-09 02:36:09.339676-04:00,Shift 1
lincoln correctional center,0,0,2025-09-09,2025-09-09 02:36:09.339676-04:00,Shift 1
logan correctional center,0,0,2025-09-09,2025-09-09 02:36:09.339676-04:00,Shift 1
menard correctional center,0,0,2025-09-09,2025-09-09 02:36:09.339676-04:00,Shift 1
pinckneyville correctional center,0,1,2025-09-09,2025-09-09 02:36:09.339676-04:00,Shift 1
joliet treatment center,0,0,2025-09-09,2025-09-09 02:36:09.339676-04:00,Shift 1
robinson correctional center,0,0,2025-09-09,2025-09-09 02:36:09.339676-04:00,Shift 1
shawnee correctional center,0,0,2025-09-09,2025-09-09 02:36:09.339676-04:00,Shift 1
sheridan correctional center,0,0,2025-09-09,2025-09-09 02:36:09.339676-04:00,Shift 1
southwestern illinois correctional center,0,0,2025-09-09,2025-09-09 02:36:09.339676-04:00,Shift 1
stateville correctional center,0,0,2025-09-09,2025-09-09 02:36:09.339676-04:00,Shift 1
taylorville correctional center,0,0,2025-09-09,2025-09-09 02:36:09.339676-04:00,Shift 1
vandalia correctional center,0,0,2025-09-09,2025-09-09 02:36:09.339676-04:00,Shift 1
vienna correctional center,0,0,2025-09-09,2025-09-09 02:36:09.339676-04:00,Shift 1
western illinois correctional center,0,0,2025-09-09,2025-09-09 02:36:09.339676-04:00,Shift 1
big muddy river correctional center,0,0,2025-09-09,2025-09-09 03:24:05.550755-04:00,Shift 1
centralia correctional center,0,0,2025-09-09,2025-09-09 03:24:05.550755-04:00,Shift 1
danville correctional center,0,0,2025-09-09,2025-09-09 03:24:05.550755-04:00,Shift 1
decatur correctional center,0,0,2025-09-09,2025-09-09 03:24:05.550755-04:00,Shift 1
dixon correctional center,0,0,2025-09-09,2025-09-09 03:24:05.550755-04:00,Shift 1
east moline correctional center,0,0,2025-09-09,2025-09-09 03:24:05.550755-04:00,Shift 1
graham correctional center,0,0,2025-09-09,2025-09-09 03:24:05.550755-04:00,Shift 1
hill correctional center,1,0,2025-09-09,2025-09-09 03:24:05.550755-04:00,Shift 1
illinois river correctional center,0,0,2025-09-09,2025-09-09 03:24:05.550755-04:00,Shift 1
jacksonville correctional center,0,0,2025-09-09,2025-09-09 03:24:05.550755-04:00,Shift 1
lawrence correctional center,0,0,2025-09-09,2025-09-09 03:24:05.550755-04:00,Shift 1
lincoln correctional center,0,0,2025-09-09,2025-09-09 03:24:05.550755-04:00,Shift 1
logan correctional center,0,0,2025-09-09,2025-09-09 03:24:05.550755-04:00,Shift 1
menard correctional center,0,0,2025-09-09,2025-09-09 03:24:05.550755-04:00,Shift 1
pinckneyville correctional center,0,1,2025-09-09,2025-09-09 03:24:05.550755-04:00,Shift 1
joliet treatment center,0,0,2025-09-09,2025-09-09 03:24:05.550755-04:00,Shift 1
robinson correctional center,0,0,2025-09-09,2025-09-09 03:24:05.550755-04:00,Shift 1
shawnee correctional center,0,0,2025-09-09,2025-09-09 03:24:05.550755-04:00,Shift 1
sheridan correctional center,0,0,2025-09-09,2025-09-09 03:24:05.550755-04:00,Shift 1
southwestern illinois correctional center,0,0,2025-09-09,2025-09-09 03:24:05.550755-04:00,Shift 1
stateville correctional center,0,0,2025-09-09,2025-09-09 03:24:05.550755-04:00,Shift 1
taylorville correctional center,0,0,2025-09-09,2025-09-09 03:24:05.550755-04:00,Shift 1
vandalia correctional center,0,0,2025-09-09,2025-09-09 03:24:05.550755-04:00,Shift 1
vienna correctional center,0,0,2025-09-09,2025-09-09 03:24:05.550755-04:00,Shift 1
western illinois correctional center,0,0,2025-09-09,2025-09-09 03:24:05.550755-04:00,Shift 1
big muddy river correctional center,0,0,2025-09-09,2025-09-09 04:32:34.247528-04:00,Shift 1
centralia correctional center,0,0,2025-09-09,2025-09-09 04:32:34.247528-04:00,Shift 1
danville correctional center,0,0,2025-09-09,2025-09-09 04:32:34.247528-04:00,Shift 1
decatur correctional center,0,0,2025-09-09,2025-09-09 04:32:34.247528-04:00,Shift 1
dixon correctional center,0,0,2025-09-09,2025-09-09 04:32:34.247528-04:00,Shift 1
east moline correctional center,0,0,2025-09-09,2025-09-09 04:32:34.247528-04:00,Shift 1
graham correctional center,0,0,2025-09-09,2025-09-09 04:32:34.247528-04:00,Shift 1
hill correctional center,1,0,2025-09-09,2025-09-09 04:32:34.247528-04:00,Shift 1
illinois river correctional center,0,0,2025-09-09,2025-09-09 04:32:34.247528-04:00,Shift 1
jacksonville correctional center,0,0,2025-09-09,2025-09-09 04:32:34.247528-04:00,Shift 1
lawrence correctional center,0,0,2025-09-09,2025-09-09 04:32:34.247528-04:00,Shift 1
lincoln correctional center,0,0,2025-09-09,2025-09-09 04:32:34.247528-04:00,Shift 1
logan correctional center,0,0,2025-09-09,2025-09-09 04:32:34.247528-04:00,Shift 1
menard correctional center,0,0,2025-09-09,2025-09-09 04:32:34.247528-04:00,Shift 1
pinckneyville correctional center,0,1,2025-09-09,2025-09-09 04:32:34.247528-04:00,Shift 1
joliet treatment center,0,0,2025-09-09,2025-09-09 04:32:34.247528-04:00,Shift 1
robinson correctional center,0,0,2025-09-09,2025-09-09 04:32:34.247528-04:00,Shift 1
shawnee correctional center,0,0,2025-09-09,2025-09-09 04:32:34.247528-04:00,Shift 1
sheridan correctional center,0,0,2025-09-09,2025-09-09 04:32:34.247528-04:00,Shift 1
southwestern illinois correctional center,0,0,2025-09-09,2025-09-09 04:32:34.247528-04:00,Shift 1
stateville correctional center,0,0,2025-09-09,2025-09-09 04:32:34.247528-04:00,Shift 1
taylorville correctional center,0,0,2025-09-09,2025-09-09 04:32:34.247528-04:00,Shift 1
vandalia correctional center,0,0,2025-09-09,2025-09-09 04:32:34.247528-04:00,Shift 1
vienna correctional center,0,0,2025-09-09,2025-09-09 04:32:34.247528-04:00,Shift 1
western illinois correctional center,0,0,2025-09-09,2025-09-09 04:32:34.247528-04:00,Shift 1
big muddy river correctional center,0,0,2025-09-09,2025-09-09 05:27:04.438068-04:00,Shift 1
centralia correctional center,0,0,2025-09-09,2025-09-09 05:27:04.438068-04:00,Shift 1
danville correctional center,0,0,2025-09-09,2025-09-09 05:27:04.438068-04:00,Shift 1
decatur correctional center,0,0,2025-09-09,2025-09-09 05:27:04.438068-04:00,Shift 1
dixon correctional center,0,0,2025-09-09,2025-09-09 05:27:04.438068-04:00,Shift 1
east moline correctional center,0,0,2025-09-09,2025-09-09 05:27:04.438068-04:00,Shift 1
graham correctional center,0,0,2025-09-09,2025-09-09 05:27:04.438068-04:00,Shift 1
hill correctional center,1,0,2025-09-09,2025-09-09 05:27:04.438068-04:00,Shift 1
illinois river correctional center,0,0,2025-09-09,2025-09-09 05:27:04.438068-04:00,Shift 1
jacksonville correctional center,0,0,2025-09-09,2025-09-09 05:27:04.438068-04:00,Shift 1
lawrence correctional center,0,0,2025-09-09,2025-09-09 05:27:04.438068-04:00,Shift 1
lincoln correctional center,0,0,2025-09-09,2025-09-09 05:27:04.438068-04:00,Shift 1
logan correctional center,0,0,2025-09-09,2025-09-09 05:27:04.438068-04:00,Shift 1
menard correctional center,0,0,2025-09-09,2025-09-09 05:27:04.438068-04:00,Shift 1
pinckneyville correctional center,0,1,2025-09-09,2025-09-09 05:27:04.438068-04:00,Shift 1
joliet treatment center,0,0,2025-09-09,2025-09-09 05:27:04.438068-04:00,Shift 1
robinson correctional center,0,0,2025-09-09,2025-09-09 05:27:04.438068-04:00,Shift 1
shawnee correctional center,0,0,2025-09-09,2025-09-09 05:27:04.438068-04:00,Shift 1
sheridan correctional center,0,0,2025-09-09,2025-09-09 05:27:04.438068-04:00,Shift 1
southwestern illinois correctional center,0,0,2025-09-09,2025-09-09 05:27:04.438068-04:00,Shift 1
stateville correctional center,0,0,2025-09-09,2025-09-09 05:27:04.438068-04:00,Shift 1
taylorville correctional center,0,0,2025-09-09,2025-09-09 05:27:04.438068-04:00,Shift 1
vandalia correctional center,0,0,2025-09-09,2025-09-09 05:27:04.438068-04:00,Shift 1
vienna correctional center,0,0,2025-09-09,2025-09-09 05:27:04.438068-04:00,Shift 1
western illinois correctional center,0,0,2025-09-09,2025-09-09 05:27:04.438068-04:00,Shift 1
big muddy river correctional center,0,0,2025-09-09,2025-09-09 06:26:09.594184-04:00,Shift 1
centralia correctional center,0,0,2025-09-09,2025-09-09 06:26:09.594184-04:00,Shift 1
danville correctional center,0,0,2025-09-09,2025-09-09 06:26:09.594184-04:00,Shift 1
decatur correctional center,0,0,2025-09-09,2025-09-09 06:26:09.594184-04:00,Shift 1
dixon correctional center,0,0,2025-09-09,2025-09-09 06:26:09.594184-04:00,Shift 1
east moline correctional center,0,0,2025-09-09,2025-09-09 06:26:09.594184-04:00,Shift 1
graham correctional center,0,0,2025-09-09,2025-09-09 06:26:09.594184-04:00,Shift 1
hill correctional center,1,0,2025-09-09,2025-09-09 06:26:09.594184-04:00,Shift 1
illinois river correctional center,0,0,2025-09-09,2025-09-09 06:26:09.594184-04:00,Shift 1
jacksonville correctional center,0,0,2025-09-09,2025-09-09 06:26:09.594184-04:00,Shift 1
lawrence correctional center,0,0,2025-09-09,2025-09-09 06:26:09.594184-04:00,Shift 1
lincoln correctional center,0,0,2025-09-09,2025-09-09 06:26:09.594184-04:00,Shift 1
logan correctional center,0,0,2025-09-09,2025-09-09 06:26:09.594184-04:00,Shift 1
menard correctional center,0,0,2025-09-09,2025-09-09 06:26:09.594184-04:00,Shift 1
pinckneyville correctional center,0,1,2025-09-09,2025-09-09 06:26:09.594184-04:00,Shift 1
joliet treatment center,0,0,2025-09-09,2025-09-09 06:26:09.594184-04:00,Shift 1
robinson correctional center,0,0,2025-09-09,2025-09-09 06:26:09.594184-04:00,Shift 1
shawnee correctional center,0,0,2025-09-09,2025-09-09 06:26:09.594184-04:00,Shift 1
sheridan correctional center,0,0,2025-09-09,2025-09-09 06:26:09.594184-04:00,Shift 1
southwestern illinois correctional center,0,0,2025-09-09,2025-09-09 06:26:09.594184-04:00,Shift 1
stateville correctional center,0,0,2025-09-09,2025-09-09 06:26:09.594184-04:00,Shift 1
taylorville correctional center,0,0,2025-09-09,2025-09-09 06:26:09.594184-04:00,Shift 1
vandalia correctional center,0,0,2025-09-09,2025-09-09 06:26:09.594184-04:00,Shift 1
vienna correctional center,0,0,2025-09-09,2025-09-09 06:26:09.594184-04:00,Shift 1
western illinois correctional center,0,0,2025-09-09,2025-09-09 06:26:09.594184-04:00,Shift 1
big muddy river correctional center,0,0,2025-09-09,2025-09-09 07:20:25.219998-04:00,Shift 1
centralia correctional center,0,0,2025-09-09,2025-09-09 07:20:25.219998-04:00,Shift 1
danville correctional center,0,0,2025-09-09,2025-09-09 07:20:25.219998-04:00,Shift 1
decatur correctional center,0,0,2025-09-09,2025-09-09 07:20:25.219998-04:00,Shift 1
dixon correctional center,0,0,2025-09-09,2025-09-09 07:20:25.219998-04:00,Shift 1
east moline correctional center,0,0,2025-09-09,2025-09-09 07:20:25.219998-04:00,Shift 1
graham correctional center,0,0,2025-09-09,2025-09-09 07:20:25.219998-04:00,Shift 1
hill correctional center,1,0,2025-09-09,2025-09-09 07:20:25.219998-04:00,Shift 1
illinois river correctional center,0,0,2025-09-09,2025-09-09 07:20:25.219998-04:00,Shift 1
jacksonville correctional center,0,0,2025-09-09,2025-09-09 07:20:25.219998-04:00,Shift 1
lawrence correctional center,0,0,2025-09-09,2025-09-09 07:20:25.219998-04:00,Shift 1
lincoln correctional center,0,0,2025-09-09,2025-09-09 07:20:25.219998-04:00,Shift 1
logan correctional center,0,0,2025-09-09,2025-09-09 07:20:25.219998-04:00,Shift 1
menard correctional center,0,0,2025-09-09,2025-09-09 07:20:25.219998-04:00,Shift 1
